increment,specimen,d13C,d18O,measure,julian,site,element,symmetry,individual,taxon,period,comparative,birth_simple_fit,birth_season_simple_fit
8,CHP06,-9.45,-6.16,20.1,104.12,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
9,CHP06,-9.54,-4.63,17.7,130.45,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
10,CHP06,-9.43,-2.85,15.6,153.49,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
11,CHP06,-9.52,-1.85,13.5,176.52,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
12,CHP06,-9.54,-1.77,11.4,199.56,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
13,CHP06,-9.24,-2.65,9.3,222.6,Chap,M/3,left,6,caprine,Final Bronze Age,FALSE,0.35,spring
1,CHP07,-10.41,-0.18,23.9,188.1,Chap,M/2,left,6,caprine,Final Bronze Age,FALSE,0.66,fall
2,CHP07,-9.6,-0.31,21.5,213.27,Chap,M/2,left,6,caprine,Final Bronze Age,FALSE,0.66,fall
3,CHP07,-9.26,-1.8,19.2,237.39,Chap,M/2,left,6,caprine,Final Bronze Age,FALSE,0.66,fall
4,CHP07,-8.87,-2.54,16.4,266.76,Chap,M/2,left,6,caprine,Final Bronze Age,FALSE,0.66,fall
5,CHP07,-8.65,-4.27,14.2,289.83,Chap,M/2,left,6,caprine,Final Bronze Age,FALSE,0.66,fall
6,CHP07,-8.36,-6.1,11.7,316.05,Chap,M/2,left,6,caprine,Final Bronze Age,FALSE,0.66,fall
7,CHP07,-8.41,-7.75,9.6,338.08,Chap,M/2,left,6,caprine,Final Bronze Age,FALSE,0.66,fall
8,CHP07,-8.63,-9.01,6.7,3.49,Chap,M/2,left,6,caprine,Final Bronze Age,FALSE,0.66,fall
9,CHP07,-9.1,-8.16,4.2,29.71,Chap,M/2,left,6,caprine,Final Bronze Age,FALSE,0.66,fall
1,CHP08,-8.81,-8.43,31.7,348.67,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
2,CHP08,-8.61,-8.94,29.2,7.68,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
3,CHP08,-8.72,-8.83,26.7,31.69,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
4,CHP08,-8.66,-7.7,24,57.62,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
5,CHP08,-8.9,-6.69,21.5,81.63,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
6,CHP08,-9.24,-5.12,19.1,104.68,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
7,CHP08,-9.68,-3.25,16.5,129.65,Chap,M/2,left,7,caprine,Final Bronze Age,FALSE,0.25,spring
