increment,specimen,d13C,d18O,measure
14,5572,-9.57,-6.52,7.84
16,5572,-9.2,-9.14,4.33
18,5572,-8.51,-10.9,1.27
2,5573,-7.66,-12.51,23.15
4,5573,-7.93,-11,19.38
6,5573,-8.45,-8.72,16.35
8,5573,-8.77,-6.99,13.31
10,5573,-9.18,-4.54,10.27
12,5573,-9.24,-3.56,7.42
14,5573,-9.49,-4.9,4.61
16,5573,-9.12,-6.05,1.24
1,5574,-9.28,-12.72,28.42
2,5574,-9.36,-11.81,26.5
4,5574,-9.73,-9.86,24.17
6,5574,-10.25,-8.11,20.41
8,5574,-10.46,-5.67,17
10,5574,-10.69,-4.87,14.02
12,5574,-10.61,-6.24,10.97
1,5575,-7.85,-12.9,32.43
3,5575,-7.89,-12,28.13
5,5575,-8.14,-11.05,25.05
7,5575,-8.78,-8.45,20.47
9,5575,-9.13,-5.54,16.34
11,5575,-8.65,-6.09,11.99
13,5575,-8.34,-8.38,8.21
15,5575,-7.9,-10.57,4.54
1,5576,-10.18,-3.83,28.39
3,5576,-10.33,-4.2,24.33
7,5576,-9.74,-6.75,16.24
9,5576,-9.4,-8.2,12.32
11,5576,-9.44,-10.58,9.69
13,5576,-8.62,-10.38,6.58
1,5577,-9.49,-2.89,13.41
2,5577,-9.66,-3.15,11.85
4,5577,-9.42,-4.77,9.16
5,5577,-9.26,-5.45,7.66
6,5577,-9.15,-6.69,5.97
7,5577,-8.82,-7.45,4.67
8,5577,-8.45,-8.84,2.69
1,5578,-10.17,-11.75,37.85
3,5578,-10.23,-11.17,34
5,5578,-10.18,-8.67,30.81
7,5578,-10.16,-6.63,28
9,5578,-10.22,-5.34,24.62
11,5578,-9.9,-4.97,21.67
13,5578,-9.29,-6.78,17.53
15,5578,-9.04,-8.82,14.76
17,5578,-8.94,-10.29,11.66
19,5578,-9.02,-10.98,8.37
1,5579,-9.43,-13.09,30.58
3,5579,-9.73,-12.32,27.06
5,5579,-10.14,-10.1,22.82
7,5579,-10.52,-6.93,19.23
9,5579,-10.54,-5.21,16.13
11,5579,-10.35,-5.57,13.12
13,5579,-9.94,-7.82,9.14
15,5579,-9.43,-10.24,6.51
17,5579,-9.18,-12.52,3.53
2,5580,-9.8,-4.34,18.65
4,5580,-10.13,-3.49,16.19
6,5580,-9.78,-4.82,13.38
8,5580,-8.79,-6.81,8.62
10,5580,-8.71,-9.72,4.66
12,5580,-8.62,-11.96,1.06
2,5584,-10.21,-11.07,22.26
4,5584,-10.38,-8.42,18.88
6,5584,-10.71,-5.22,15.01
8,5584,-10.52,-2.46,12.19
10,5584,-10.7,-2.77,8.6
12,5584,-10.54,-4.94,5.22
14,5584,-10.35,-8.68,2.4
2,5586,-7.25,-5.19,16.89
4,5586,-6.3,-4.81,13.52
5,5586,-6.11,-5.91,11.71
6,5586,-5.48,-6.93,10.39
8,5586,-5.95,-9.44,7.27
10,5586,-4.53,-13.68,4.14
1,5587,-10.21,-6.51,27.59
3,5587,-10.14,-9.34,23.71
5,5587,-10.05,-10.47,20.02
7,5587,-10.07,-10.89,17.15
9,5587,-10.37,-10.79,13.73
11,5587,-10.78,-9.8,10.25
13,5587,-11.26,-7.43,7.25
15,5587,-11.61,-4.73,4.05
17,5587,-11.41,-3.06,1.24
1,5588,-6.44,-6.81,23.59
4,5588,-8.15,-3.66,17.88
6,5588,-8.41,-2.34,13.91
8,5588,-6.67,-3.36,11.16
10,5588,-6.28,-5.26,7.92
12,5588,-5.37,-7.91,4.91
14,5588,-3.83,-11.34,1.79
1,5589,-10.48,-3.68,9.26
2,5589,-9.88,-2.32,7.42
3,5589,-9.37,-2.64,5.67
4,5589,-9.31,-3.83,3.94
5,5589,-9.08,-4.77,2.66
6,5589,-9.4,-6.33,1.02
